,SAT,valid,dimacs_set,iteration,cmp_set,backtracks,uc_nodes,pl_nodes,splits
253,1,1,damnhard_4,0,least_constraining,1193332,1163831,0,30230
254,1,1,damnhard_5,0,least_constraining,10000,10396,0,333
255,1,1,damnhard_6,0,least_constraining,28287,28143,0,873
256,1,1,damnhard_7,0,least_constraining,2929856,2837774,0,92811
257,1,1,damnhard_8,0,least_constraining,1592977,1548096,0,45610
258,1,1,damnhard_9,0,least_constraining,32727,32468,0,988
259,1,1,damnhard_10,0,least_constraining,129465,126835,0,3359
260,1,1,damnhard_11,0,least_constraining,677287,659525,0,18491
261,1,1,damnhard_12,0,least_constraining,920528,896083,0,25174
262,1,1,damnhard_13,0,least_constraining,1694454,1629886,0,65297
263,1,1,damnhard_14,0,least_constraining,2154269,2073004,0,81994
264,1,1,damnhard_15,0,least_constraining,4672,5255,0,146
265,1,1,damnhard_16,0,least_constraining,8126,8629,0,226
266,1,1,damnhard_17,0,least_constraining,36288,36002,0,1015
267,1,1,damnhard_18,0,least_constraining,1299592,1249783,0,50538
268,1,1,damnhard_19,0,least_constraining,4568836,4434744,0,134821
269,1,1,damnhard_20,0,least_constraining,813773,791119,0,23383
